iter	MultiClass	Accuracy
0	0.8099759877	0.6920955882
1	0.6877141993	0.7417279412
2	0.6251997175	0.7490808824
3	0.5822987907	0.7536764706
4	0.5519361396	0.7582720588
5	0.5322679026	0.7619485294
6	0.5181490324	0.7711397059
7	0.5044607192	0.7748161765
8	0.4956333645	0.78125
9	0.4841706641	0.7766544118
10	0.474573705	0.7931985294
11	0.4663199575	0.7987132353
12	0.4592843179	0.8023897059
13	0.4511399072	0.8042279412
14	0.442618758	0.8143382353
15	0.4364052201	0.8143382353
16	0.430279998	0.8152573529
17	0.4256180795	0.8207720588
18	0.4181995176	0.8226102941
19	0.4116403309	0.8272058824
20	0.4077601271	0.828125
21	0.4010080718	0.8327205882
22	0.3925171256	0.8409926471
23	0.3835818362	0.8419117647
24	0.3782621941	0.8428308824
25	0.3757063914	0.8474264706
26	0.3691897004	0.84375
27	0.3658060095	0.8455882353
28	0.3600431516	0.8455882353
29	0.3576256714	0.8529411765
30	0.3514367214	0.8529411765
31	0.3477564473	0.859375
32	0.3433206358	0.8621323529
33	0.3363616563	0.8731617647
34	0.3330384292	0.8658088235
35	0.3294381468	0.8694852941
36	0.327676761	0.8685661765
37	0.3237571677	0.8694852941
38	0.319412815	0.8740808824
39	0.3169664751	0.8777573529
40	0.3142757759	0.8740808824
41	0.3075522662	0.8832720588
42	0.3033185494	0.8887867647
43	0.2987349347	0.8970588235
44	0.2965527184	0.8970588235
45	0.2939408976	0.8988970588
46	0.2908884894	0.9007352941
47	0.2887508651	0.9007352941
48	0.2847360739	0.9025735294
49	0.281443245	0.9090073529
50	0.2762941041	0.9126838235
51	0.2740872972	0.9108455882
52	0.2714052255	0.9099264706
53	0.2705307415	0.9108455882
54	0.2671326088	0.9126838235
55	0.2653597328	0.9154411765
56	0.2623473952	0.9191176471
57	0.2607816066	0.9191176471
58	0.2588790413	0.9191176471
59	0.2574829164	0.9200367647
60	0.2542247179	0.9283088235
61	0.2523483517	0.9273897059
62	0.2497307956	0.9301470588
63	0.2460017675	0.9365808824
64	0.2431520652	0.9338235294
65	0.2395780751	0.9347426471
66	0.2363619781	0.9402573529
67	0.23400195	0.9430147059
68	0.2323675699	0.9430147059
69	0.2298423361	0.9457720588
70	0.2278026079	0.9476102941
71	0.2251580257	0.9476102941
72	0.2233829625	0.9476102941
73	0.2217155686	0.9549632353
74	0.2182628747	0.9577205882
75	0.2166096131	0.9586397059
76	0.2147233263	0.9586397059
77	0.2132326737	0.9595588235
78	0.210822292	0.9595588235
79	0.2088073126	0.9577205882
80	0.2056318091	0.9595588235
81	0.2033066166	0.9558823529
82	0.2011494845	0.9595588235
83	0.2002155006	0.9604779412
84	0.1985326066	0.9613970588
85	0.1970555992	0.9641544118
86	0.1953021863	0.9705882353
87	0.1941584306	0.9715073529
88	0.1924955823	0.9696691176
89	0.1908036924	0.9733455882
90	0.1891794267	0.9705882353
91	0.1875026419	0.9705882353
92	0.1858752087	0.9724264706
93	0.183516423	0.9724264706
94	0.1820132498	0.9751838235
95	0.1803583333	0.9724264706
96	0.1785609353	0.9733455882
97	0.1769244601	0.9742647059
98	0.1761631317	0.9742647059
99	0.174783276	0.9751838235
