iter	Passed	Remaining
0	7	769
1	13	644
2	17	581
3	26	629
4	33	637
5	45	711
6	51	688
7	56	644
8	60	614
9	67	603
10	71	578
11	75	555
12	79	534
13	83	514
14	87	496
15	91	480
16	95	464
17	99	455
18	104	447
19	108	434
20	114	432
21	118	421
22	122	411
23	126	401
24	132	396
25	136	389
26	140	378
27	144	372
28	148	362
29	151	353
30	154	343
31	157	335
32	160	326
33	164	318
34	167	310
35	170	302
36	173	294
37	176	288
38	179	281
39	182	274
40	185	267
41	188	260
42	192	254
43	194	248
44	197	241
45	200	235
46	203	229
47	206	224
48	210	218
49	213	213
50	216	207
51	218	202
52	222	197
53	226	192
54	229	187
55	232	182
56	235	178
57	239	173
58	242	168
59	244	163
60	247	158
61	250	153
62	253	149
63	256	144
64	259	139
65	262	135
66	265	130
67	268	126
68	271	121
69	274	117
70	277	113
71	280	108
72	283	104
73	286	100
74	288	96
75	291	92
76	294	87
77	297	83
78	300	79
79	302	75
80	305	71
81	308	67
82	310	63
83	313	59
84	316	55
85	319	52
86	322	48
87	325	44
88	327	40
89	331	36
90	334	33
91	338	29
92	341	25
93	344	21
94	361	19
95	370	15
96	380	11
97	401	8
98	424	4
99	437	0
